PROVINCIA,PARTIDO,HAB_2001,HAB_2010,VAR_2001-2010,VAR_PORCENTUAL
Santiago del Estero,Rivadavia,4.916,5.015,99,"2,0"
Cordoba,Tercero Arriba,107.460,109.554,2.094,"1,9"
Provincia de Buenos Aires.,Junín,88.664,90.305,1.641,"1,9"
Corrientes,Ituzaingó,30.565,31.150,585,"1,9"
Catamarca,Santa María,22.127,22.548,421,"1,9"
Santiago del Estero,Figueroa,17.495,17.820,325,"1,9"
La Pampa,Trenel,5.324,5.426,102,"1,9"
Santa Fe,Iriondo,65.486,66.675,1.189,"1,8"
Provincia de Buenos Aires.,Lincoln,41.127,41.808,681,"1,7"
Salta,Molinos,5.565,5.652,87,"1,6"
Provincia de Buenos Aires.,General Guido,2.771,2.816,45,"1,6"
Provincia de Buenos Aires.,Lanús,453.082,459.263,6.181,"1,4"
Corrientes,Esquina,30.372,30.802,430,"1,4"
Provincia de Buenos Aires.,Las Flores,23.551,23.871,320,"1,4"
Santiago del Estero,Silípica,7.605,7.712,107,"1,4"
Neuquen,Ñorquín,4.628,4.692,64,"1,4"
Santa Fe,San Justo,40.379,40.904,525,"1,3"
Cordoba,Sobremonte,4.531,4.591,60,"1,3"
Provincia de Buenos Aires.,Tordillo,1.742,1.764,22,"1,3"
Provincia de Buenos Aires.,General Pinto,11.129,11.261,132,"1,2"
Provincia de Buenos Aires.,Tres de Febrero,336.467,340.071,3.604,"1,1"
Entre Rios,La Paz,66.158,66.903,745,"1,1"
Entre Rios,Villaguay,48.416,48.965,549,"1,1"
La Rioja,General Lamadrid,1.717,1.734,17,"1,0"
La Rioja,Independencia,2.405,2.427,22,"0,9"
Formosa,Pirané,64.023,64.566,543,"0,8"
Chaco,General Donovan,13.385,13.490,105,"0,8"
Rio Negro,Pichi Mahuida,14.026,14.107,81,"0,6"
Provincia de Buenos Aires.,San Isidro,291.505,292.878,1.373,"0,5"
Entre Rios,Nogoyá,38.840,39.026,186,"0,5"
Salta,Cachi,7.280,7.315,35,"0,5"
Santa Fe,Vera,51.303,51.494,191,"0,4"
Corrientes,General Paz,14.775,14.836,61,"0,4"
Provincia de Buenos Aires.,Carlos Tejedor,11.539,11.570,31,"0,3"
Provincia de Buenos Aires.,General Arenales,14.876,14.903,27,"0,2"
La Pampa,Rancul,10.648,10.668,20,"0,2"
La Pampa,Atreucó,10.134,10.153,19,"0,2"
Salta,La Poma,1.735,1.738,3,"0,2"
Provincia de Buenos Aires.,Adolfo Gonzales Chaves,12.037,12.047,10,"0,1"
Provincia de Buenos Aires.,Maipú,10.193,10.188,-5,"0,0"
Chaco,2 de Abril,7.435,7.432,-3,"0,0"
Provincia de Buenos Aires.,Tres Arroyos,57.244,57.110,-134,"-0,2"
La Rioja,General San Martín,4.956,4.944,-12,"-0,2"
La Pampa,Loventué,8.649,8.619,-30,"-0,3"
Provincia de Buenos Aires.,Salliqueló,8.682,8.644,-38,"-0,4"
Rio Negro,9 de julio,3.501,3.475,-26,"-0,7"
Salta,Guachipas,3.211,3.187,-24,"-0,7"
Entre Rios,Tala,25.892,25.665,-227,"-0,9"
Catamarca,Tinogasta,22.570,22.360,-210,"-0,9"
La Pampa,Quemú Quemú,8.756,8.663,-93,"-1,1"
La Rioja,Castro Barros,4.322,4.268,-54,"-1,2"
Corrientes,Sauce,9.151,9.032,-119,"-1,3"
Santiago del Estero,Sarmiento,4.669,4.607,-62,"-1,3"
Catamarca,Ambato,4.525,4.463,-62,"-1,4"
Provincia de Buenos Aires.,Vicente López,274.082,269.420,-4.662,"-1,7"
La Rioja,General Angel V. Peñaloza,3.127,3.073,-54,"-1,7"
Provincia de Buenos Aires.,General La Madrid,10.984,10.783,-201,"-1,8"
Chubut,Paso de Indios,1.905,1.867,-38,"-2,0"
Chaco,Tapenagá,4.188,4.097,-91,"-2,2"
Provincia de Buenos Aires.,Pellegrini,6.030,5.887,-143,"-2,4"
Catamarca,Paclín,4.290,4.185,-105,"-2,4"
La Rioja,General Ocampo,7.331,7.145,-186,"-2,5"
Corrientes,General Alvear,8.147,7.926,-221,"-2,7"
Salta,San Carlos,7.208,7.016,-192,"-2,7"
La Rioja,Coronel Felipe Varela,9.939,9.648,-291,"-2,9"
La Rioja,San Blas de los Sauces,4.048,3.927,-121,"-3,0"
San Juan,Capital,112.778,109.123,-3.655,"-3,2"
Cordoba,Minas,4.881,4.727,-154,"-3,2"
La Pampa,Conhelo,14.591,14.077,-514,"-3,5"
Chubut,Río Senguer,6.194,5.979,-215,"-3,5"
Provincia de Buenos Aires.,Coronel Pringles,23.794,22.933,-861,"-3,6"
La Rioja,Vinchina,2.834,2.731,-103,"-3,6"
La Pampa,Hucal,7.838,7.540,-298,"-3,8"
Provincia de Buenos Aires.,Puán,16.381,15.743,-638,"-3,9"
Provincia de Buenos Aires.,Coronel Dorrego,16.522,15.825,-697,"-4,2"
La Pampa,Guatraché,9.306,8.831,-475,"-5,1"
Catamarca,Ancasti,3.082,2.917,-165,"-5,4"
Chubut,Gastre,1.508,1.427,-81,"-5,4"
La Pampa,Chical Co,1.595,1.502,-93,"-5,8"
Salta,Iruya,6.368,5.987,-381,"-6,0"
Santiago del Estero,Quebrachos,11.331,10.568,-763,"-6,7"
Salta,Santa Victoria,11.122,10.344,-778,"-7,0"
La Rioja,Famatina,6.371,5.863,-508,"-8,0"
Chubut,Telsen,1.788,1.644,-144,"-8,1"
San Luis,Libertador General San Martín,5.189,4.707,-482,"-9,3"
La Rioja,General Juan F. Quiroga,4.546,4.108,-438,"-9,6"
Jujuy,Santa Catalina,3.140,2.800,-340,"-10,8"
Neuquen,Catán Lil,2.469,2.155,-314,"-12,7"
Rio Negro,Ñorquinco,2.079,1.736,-343,"-16,5"
La Pampa,Lihuel Calel,547,439,-108,"-19,7"
Chubut,Mártires,977,778,-199,"-20,4"
