PROVINCIA,PARTIDO,HAB_2001,HAB_2010,VAR_2001-2010,VAR_PORCENTUAL
Provincia de Buenos Aires.,General Alvarado,34.391,39.594,5.203,"15,1"
Mendoza,San Carlos,28.341,32.631,4.290,"15,1"
Cordoba,Punilla,155.124,178.401,23.277,"15,0"
Catamarca,Valle Viejo,23.707,27.242,3.535,"14,9"
Santiago del Estero,Loreto,17.442,20.036,2.594,"14,9"
Mendoza,Luján de Cuyo,104.470,119.888,15.418,"14,8"
Provincia de Buenos Aires.,Roque Pérez,10.902,12.513,1.611,"14,8"
Chubut,Futaleufú,37.540,43.076,5.536,"14,7"
Salta,Rosario de Lerma,33.741,38.702,4.961,"14,7"
Corrientes,Concepción,18.411,21.113,2.702,"14,7"
Provincia de Buenos Aires.,Tandil,108.109,123.871,15.762,"14,6"
Jujuy,El Carmen,84.667,97.039,12.372,"14,6"
Jujuy,Yavi,18.160,20.806,2.646,"14,6"
Santiago del Estero,Moreno,28.053,32.130,4.077,"14,5"
Chaco,General Belgrano,10.470,11.988,1.518,"14,5"
Mendoza,Lavalle,32.129,36.738,4.609,"14,3"
Misiones,Capital,284.279,324.756,40.477,"14,2"
Entre Rios,Federación,60.204,68.736,8.532,"14,2"
Cordoba,San Alberto,32.395,37.004,4.609,"14,2"
Cordoba,Santa María,86.083,98.188,12.105,"14,1"
San Juan,Caucete,33.609,38.343,4.734,"14,1"
Mendoza,Tupungato,28.539,32.524,3.985,"14,0"
Provincia de Buenos Aires.,La Plata,574.369,654.324,79.955,"13,9"
Rio Negro,General Roca,281.653,320.921,39.268,"13,9"
Rio Negro,Adolfo Alsina,50.701,57.678,6.977,"13,8"
Catamarca,Capayán,14.137,16.085,1.948,"13,8"
San Luis,General Pedernera,110.814,125.899,15.085,"13,6"
Salta,Chicoana,18.248,20.710,2.462,"13,5"
Salta,Capital,472.971,536.113,63.142,"13,4"
Chubut,Rawson,115.829,131.313,15.484,"13,4"
Corrientes,Santo Tomé,54.050,61.297,7.247,"13,4"
Provincia de Buenos Aires.,Ramallo,29.179,33.042,3.863,"13,2"
Provincia de Buenos Aires.,Suipacha,8.904,10.081,1.177,"13,2"
Catamarca,Capital,141.260,159.703,18.443,"13,1"
Provincia de Buenos Aires.,Luján,93.992,106.273,12.281,"13,1"
Misiones,Cainguás,47.271,53.403,6.132,"13,0"
Chaco,1º de Mayo,9.131,10.322,1.191,"13,0"
Mendoza,Guaymallén,251.339,283.803,32.464,"12,9"
Provincia de Buenos Aires.,Campana,83.698,94.461,10.763,"12,9"
San Luis,Ayacucho,16.906,19.087,2.181,"12,9"
Provincia de Buenos Aires.,General Belgrano,15.381,17.365,1.984,"12,9"
Catamarca,Pomán,9.543,10.776,1.233,"12,9"
Provincia de Buenos Aires.,Zárate,101.271,114.269,12.998,"12,8"
Provincia de Buenos Aires.,Capitán Sarmiento,12.854,14.494,1.640,"12,8"
Chaco,Fray Justo Santa María de Oro,10.485,11.826,1.341,"12,8"
Salta,General José de San Martín,139.204,156.910,17.706,"12,7"
San Luis,Chacabuco,18.410,20.744,2.334,"12,7"
San Juan,25 de Mayo,15.193,17.119,1.926,"12,7"
Provincia de Buenos Aires.,Berazategui,287.913,324.244,36.331,"12,6"
Tucuman,Tafí Viejo,108.017,121.638,13.621,"12,6"
Cordoba,Cruz del Eje,52.172,58.759,6.587,"12,6"
