gid,objeto,fna,gna,nam,in1,tgl,cod_tgl,nam_prov,cod_prov,fdc,sag
"2025",Gobierno local,Comuna San Bernardo,Comuna,San Bernardo,"823946",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2026",Gobierno local,Comuna Cayastacito,Comuna,Cayastacito,"823869",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2027",Gobierno local,Comuna La Criolla,Comuna,La Criolla,"823904",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2028",Gobierno local,Comuna San Jerónimo Sud,Comuna,San Jerónimo Sud,"824023",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2029",Gobierno local,Comuna Villa Mugueta,Comuna,Villa Mugueta,"824037",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2030",Gobierno local,Municipio San Lorenzo,Municipio,San Lorenzo,"820301",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2031",Gobierno local,Comuna Timbúes,Comuna,Timbúes,"824030",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2032",Gobierno local,Comuna Ricardone,Comuna,Ricardone,"824016",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2033",Gobierno local,Comuna Pujato,Comuna,Pujato,"824009",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2034",Gobierno local,Municipio Capitán Bermúdez,Municipio,Capitán Bermúdez,"820266",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2035",Gobierno local,Comuna Coronel Arnold,Comuna,Coronel Arnold,"823988",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2036",Gobierno local,Municipio Puerto General San Martín,Municipio,Puerto General San Martín,"820287",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2037",Gobierno local,Comuna Fuentes,Comuna,Fuentes,"823995",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2038",Gobierno local,Comuna Aldao,Comuna,Aldao,"823981",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2039",Gobierno local,Municipio Carcarañá,Municipio,Carcarañá,"820273",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2040",Gobierno local,Municipio Fray Luis Beltrán,Municipio,Fray Luis Beltrán,"820280",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2041",Gobierno local,Municipio Roldán,Municipio,Roldán,"820294",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2042",Gobierno local,Comuna Luis Palacios,Comuna,Luis Palacios,"824002",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2043",Gobierno local,Comuna Crispi,Comuna,Crispi,"824079",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2044",Gobierno local,Municipio Sastre y Ortiz,Municipio,Sastre y Ortiz,"820322",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2045",Gobierno local,Comuna Landeta,Comuna,Landeta,"824086",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2046",Gobierno local,Comuna Traill,Comuna,Traill,"824135",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2047",Gobierno local,Comuna Piamonte,Comuna,Piamonte,"824121",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2048",Gobierno local,Comuna Las Petacas,Comuna,Las Petacas,"824100",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2049",Gobierno local,Comuna Las Bandurrias,Comuna,Las Bandurrias,"824093",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2050",Gobierno local,Comuna San Martín de las Escobas,Comuna,San Martín de las Escobas,"824128",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2051",Gobierno local,Comuna Colonia Belgrano,Comuna,Colonia Belgrano,"824072",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2052",Gobierno local,Comuna Los Cardos,Comuna,Los Cardos,"824107",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2053",Gobierno local,Comuna Cañada Rosquín,Comuna,Cañada Rosquín,"824044",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2054",Gobierno local,Comuna Castelar,Comuna,Castelar,"824065",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2055",Gobierno local,Comuna Casas,Comuna,Casas,"824058",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2056",Gobierno local,Comuna María Susana,Comuna,María Susana,"824114",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2057",Gobierno local,Municipio El Trébol,Municipio,El Trébol,"820308",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2058",Gobierno local,Municipio San Jorge,Municipio,San Jorge,"820315",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2059",Gobierno local,Comuna Carlos Pellegrini,Comuna,Carlos Pellegrini,"824051",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2060",Gobierno local,Comuna Toba,Comuna,Toba,"824205",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2061",Gobierno local,Comuna Fortín Olmos,Comuna,Fortín Olmos,"824149",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2062",Gobierno local,Comuna Intiyaco,Comuna,Intiyaco,"824170",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2063",Gobierno local,Municipio Vera,Municipio,Vera,"820336",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2064",Gobierno local,Comuna Garabato,Comuna,Garabato,"824156",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2065",Gobierno local,Comuna La Gallareta,Comuna,La Gallareta,"824177",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2066",Gobierno local,Comuna Tartagal,Comuna,Tartagal,"824198",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2067",Gobierno local,Municipio Calchaquí,Municipio,Calchaquí,"820329",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2068",Gobierno local,Comuna Margarita,Comuna,Margarita,"824191",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2069",Gobierno local,Comuna Cañada Ombú,Comuna,Cañada Ombú,"824142",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2070",Gobierno local,Comuna Golondrina,Comuna,Golondrina,"824163",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2071",Gobierno local,Comuna Los Amores,Comuna,Los Amores,"824184",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2156",Gobierno local,Comuna Colonia Maua,Comuna,Colonia Maua,"822301",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2157",Gobierno local,Comuna Tacurales,Comuna,Tacurales,"822378",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2158",Gobierno local,Comuna Colonia Iturraspe,Comuna,Colonia Iturraspe,"822182",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2159",Gobierno local,Comuna Colonia Bigand,Comuna,Colonia Bigand,"822161",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2160",Gobierno local,Comuna Hugentobler,Comuna,Hugentobler,"822266",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2161",Gobierno local,Comuna Galisteo,Comuna,Galisteo,"822252",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2162",Gobierno local,Comuna Fidela,Comuna,Fidela,"822245",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2163",Gobierno local,Comuna Colonia Mascías,Comuna,Colonia Mascías,"822546",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2164",Gobierno local,Comuna El Sombrerito,Comuna,El Sombrerito,"822791",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2165",Gobierno local,Comuna Nicanor Molinas,Comuna,Nicanor Molinas,"822847",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2166",Gobierno local,Comuna Santa María Centro,Comuna,Santa María Centro,"823246",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2167",Gobierno local,Comuna Soutomayor,Comuna,Soutomayor,"823274",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2168",Gobierno local,Comuna Rivadavia,Comuna,Rivadavia,"823183",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2169",Gobierno local,Comuna San José,Comuna,San José,"823043",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2170",Gobierno local,Comuna Ituzaingó,Comuna,Ituzaingó,"823106",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2171",Gobierno local,Comuna Santa María Norte,Comuna,Santa María Norte,"823253",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2172",Gobierno local,Comuna Pujato Norte,Comuna,Pujato Norte,"823176",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2173",Gobierno local,Comuna Juan de Garay,Comuna,Juan de Garay,"823302",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2174",Gobierno local,Comuna Monte Oscuridad,Comuna,Monte Oscuridad,"823617",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2175",Gobierno local,Comuna Colonia Clara,Comuna,Colonia Clara,"823568",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2176",Gobierno local,Comuna Portugalete,Comuna,Portugalete,"823638",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2177",Gobierno local,Comuna Dos Rosas y La Legua,Comuna,Dos Rosas y La Legua,"823540",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2178",Gobierno local,Comuna Campo Piaggio,Comuna,Campo Piaggio,"823743",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2179",Gobierno local,Comuna La Camila,Comuna,La Camila,"823897",Comuna,CO,Santa Fe,"82",BAHRA,IGN
