gid,objeto,fna,gna,nam,in1,tgl,cod_tgl,nam_prov,cod_prov,fdc,sag
"1868",Gobierno local,Comuna Correa,Comuna,Correa,"822903",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1869",Gobierno local,Municipio Totoras,Municipio,Totoras,"820133",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1870",Gobierno local,Municipio Cañada de Gómez,Municipio,Cañada de Gómez,"820126",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1871",Gobierno local,Comuna Villa Eloísa,Comuna,Villa Eloísa,"822945",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1872",Gobierno local,Comuna Salto Grande,Comuna,Salto Grande,"822931",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1873",Gobierno local,Comuna Serodino,Comuna,Serodino,"822938",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1874",Gobierno local,Comuna Classon,Comuna,Classon,"822896",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1875",Gobierno local,Comuna Carrizales,Comuna,Carrizales,"822889",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1876",Gobierno local,Comuna Bustinza,Comuna,Bustinza,"822882",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1877",Gobierno local,Comuna Lucio V. López,Comuna,Lucio V. López,"822910",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1878",Gobierno local,Comuna Arroyo Leyes,Comuna,Arroyo Leyes,"822959",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1879",Gobierno local,Comuna Monte Vera,Comuna,Monte Vera,"823001",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1880",Gobierno local,Municipio Santa Fe,Municipio,Santa Fe,"820147",Municipio,M1,Santa Fe,"82",BAHRA,IGN
"1881",Gobierno local,Municipio Laguna Paiva,Municipio,Laguna Paiva,"820140",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1882",Gobierno local,Comuna Campo Andino,Comuna,Campo Andino,"822973",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1883",Gobierno local,Comuna Nelson,Comuna,Nelson,"823008",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1884",Gobierno local,Comuna Llambí Campbell,Comuna,Llambí Campbell,"822994",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1885",Gobierno local,Comuna Emilia,Comuna,Emilia,"822987",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1886",Gobierno local,Municipio San José del Rincón,Municipio,San José del Rincón,"820143",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1887",Gobierno local,Municipio Santo Tomé,Municipio,Santo Tomé,"820154",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1888",Gobierno local,Comuna Arroyo Aguiar,Comuna,Arroyo Aguiar,"822952",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1889",Gobierno local,Municipio Recreo,Municipio,Recreo,"820142",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1890",Gobierno local,Comuna Sauce Viejo,Comuna,Sauce Viejo,"823029",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1891",Gobierno local,Comuna Candioti,Comuna,Candioti,"822980",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1892",Gobierno local,Comuna Cabal,Comuna,Cabal,"822966",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1893",Gobierno local,Comuna Empalme San Carlos,Comuna,Empalme San Carlos,"823064",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1894",Gobierno local,Municipio Esperanza,Municipio,Esperanza,"820161",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1895",Gobierno local,Comuna Grutly,Comuna,Grutly,"823085",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1896",Gobierno local,Comuna Cavour,Comuna,Cavour,"823036",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1897",Gobierno local,Comuna Las Tunas,Comuna,Las Tunas,"823127",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1898",Gobierno local,Comuna Humboldt,Comuna,Humboldt,"823099",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1899",Gobierno local,Comuna María Luisa,Comuna,María Luisa,"823134",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1900",Gobierno local,Comuna Providencia,Comuna,Providencia,"823169",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1901",Gobierno local,Comuna Jacinto L. Aráuz,Comuna,Jacinto L. Aráuz,"823113",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1902",Gobierno local,Comuna San Carlos Norte,Comuna,San Carlos Norte,"823204",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1903",Gobierno local,Comuna Matilde,Comuna,Matilde,"823141",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1904",Gobierno local,Comuna Sa Pereyra,Comuna,Sa Pereyra,"823190",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1905",Gobierno local,Comuna Pilar,Comuna,Pilar,"823155",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1906",Gobierno local,Comuna San Agustín,Comuna,San Agustín,"823197",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1907",Gobierno local,Comuna San Jerónimo del Sauce,Comuna,San Jerónimo del Sauce,"823218",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1908",Gobierno local,Comuna San Carlos Sud,Comuna,San Carlos Sud,"823211",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1909",Gobierno local,Comuna Nuevo Torino,Comuna,Nuevo Torino,"823148",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1910",Gobierno local,Comuna San Mariano,Comuna,San Mariano,"823232",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1911",Gobierno local,Comuna Santo Domingo,Comuna,Santo Domingo,"823260",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1912",Gobierno local,Comuna Santa Clara de Buena Vista,Comuna,Santa Clara de Buena Vista,"823239",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1913",Gobierno local,Comuna Felicia,Comuna,Felicia,"823071",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1914",Gobierno local,Comuna Cululú,Comuna,Cululú,"823050",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1915",Gobierno local,Comuna Progreso,Comuna,Progreso,"823162",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1916",Gobierno local,Comuna La Pelada,Comuna,La Pelada,"823120",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1917",Gobierno local,Municipio San Carlos Centro,Municipio,San Carlos Centro,"820168",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1918",Gobierno local,Municipio San Jerónimo Norte,Municipio,San Jerónimo Norte,"820171",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1919",Gobierno local,Comuna Franck,Comuna,Franck,"823078",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1920",Gobierno local,Comuna Hipatía,Comuna,Hipatía,"823092",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1921",Gobierno local,Comuna Elisa,Comuna,Elisa,"823057",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1922",Gobierno local,Comuna Sarmiento,Comuna,Sarmiento,"823267",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1923",Gobierno local,Comuna San Bernardo,Comuna,San Bernardo,"823330",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1924",Gobierno local,Comuna Esteban Rams,Comuna,Esteban Rams,"823281",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1925",Gobierno local,Comuna Gato Colorado,Comuna,Gato Colorado,"823288",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1926",Gobierno local,Comuna Gregoria Pérez de Denis,Comuna,Gregoria Pérez de Denis,"823295",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1927",Gobierno local,Comuna Villa Minetti,Comuna,Villa Minetti,"823344",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1928",Gobierno local,Comuna Logroño,Comuna,Logroño,"823309",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1929",Gobierno local,Comuna Santa Margarita,Comuna,Santa Margarita,"823337",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1930",Gobierno local,Comuna Pozo Borrado,Comuna,Pozo Borrado,"823323",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1931",Gobierno local,Comuna Montefiore,Comuna,Montefiore,"823316",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1932",Gobierno local,Municipio Tostado,Municipio,Tostado,"820175",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1933",Gobierno local,Municipio Pueblo Esther,Municipio,Pueblo Esther,"820207",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1934",Gobierno local,Municipio Arroyo Seco,Municipio,Arroyo Seco,"820182",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1935",Gobierno local,Comuna Piñero,Comuna,Piñero,"823421",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1936",Gobierno local,Comuna Villa Amelia,Comuna,Villa Amelia,"823456",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1937",Gobierno local,Comuna Alvear,Comuna,Alvear,"823372",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1938",Gobierno local,Comuna Álvarez,Comuna,Álvarez,"823365",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1939",Gobierno local,Comuna Carmen del Sauce,Comuna,Carmen del Sauce,"823386",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1940",Gobierno local,Comuna Albarellos,Comuna,Albarellos,"823358",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1941",Gobierno local,Comuna Pueblo Muñoz,Comuna,Pueblo Muñoz,"823435",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1942",Gobierno local,Comuna Arminda,Comuna,Arminda,"823379",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1943",Gobierno local,Municipio Granadero Baigorria,Municipio,Granadero Baigorria,"820196",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1944",Gobierno local,Comuna Acebal,Comuna,Acebal,"823351",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1945",Gobierno local,Comuna Fighiera,Comuna,Fighiera,"823400",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1946",Gobierno local,Comuna Ibarlucea,Comuna,Ibarlucea,"823414",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1947",Gobierno local,Comuna Coronel Domínguez,Comuna,Coronel Domínguez,"823470",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1948",Gobierno local,Municipio Pérez,Municipio,Pérez,"820203",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1949",Gobierno local,Municipio Funes,Municipio,Funes,"820189",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1950",Gobierno local,Comuna Soldini,Comuna,Soldini,"823442",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1951",Gobierno local,Comuna Uranga,Comuna,Uranga,"823449",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1952",Gobierno local,Comuna Zavalla,Comuna,Zavalla,"823463",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1953",Gobierno local,Comuna Coronel Bogado,Comuna,Coronel Bogado,"823393",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1954",Gobierno local,Comuna General Lagos,Comuna,General Lagos,"823407",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1955",Gobierno local,Municipio Rosario,Municipio,Rosario,"820210",Municipio,M1,Santa Fe,"82",BAHRA,IGN
"1956",Gobierno local,Municipio Villa Gobernador Gálvez,Municipio,Villa Gobernador Gálvez,"820217",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1957",Gobierno local,Municipio Suardi,Municipio,Suardi,"820235",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1958",Gobierno local,Comuna Moisés Ville,Comuna,Moisés Ville,"823603",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1959",Gobierno local,Comuna Capivara,Comuna,Capivara,"823498",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1960",Gobierno local,Comuna Las Avispas,Comuna,Las Avispas,"823589",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1961",Gobierno local,Comuna Villa Saralegui,Comuna,Villa Saralegui,"823673",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1962",Gobierno local,Comuna Villa Trinidad,Comuna,Villa Trinidad,"823680",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1963",Gobierno local,Comuna Colonia Rosa,Comuna,Colonia Rosa,"823519",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1964",Gobierno local,Comuna Palacios,Comuna,Palacios,"823631",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1965",Gobierno local,Comuna Huanqueros,Comuna,Huanqueros,"823554",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1966",Gobierno local,Comuna La Cabral,Comuna,La Cabral,"823561",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1967",Gobierno local,Comuna Monigotes,Comuna,Monigotes,"823610",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1968",Gobierno local,Comuna Constanza,Comuna,Constanza,"823526",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1969",Gobierno local,Comuna La Lucila,Comuna,La Lucila,"823575",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1970",Gobierno local,Municipio Ceres,Municipio,Ceres,"820224",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1971",Gobierno local,Comuna Ambrosetti,Comuna,Ambrosetti,"823484",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1972",Gobierno local,Comuna Colonia Bossi,Comuna,Colonia Bossi,"823512",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1973",Gobierno local,Comuna Aguará Grande,Comuna,Aguará Grande,"823477",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1974",Gobierno local,Comuna Las Palmeras,Comuna,Las Palmeras,"823596",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1975",Gobierno local,Comuna La Rubia,Comuna,La Rubia,"823582",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1976",Gobierno local,Comuna Santurce,Comuna,Santurce,"823652",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1977",Gobierno local,Comuna Hersilia,Comuna,Hersilia,"823547",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1978",Gobierno local,Comuna Soledad,Comuna,Soledad,"823659",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1979",Gobierno local,Municipio San Guillermo,Municipio,San Guillermo,"820233",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1980",Gobierno local,Comuna Ñanducita,Comuna,Ñanducita,"823624",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1981",Gobierno local,Comuna Arrufo,Comuna,Arrufo,"823491",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1982",Gobierno local,Comuna Curupaity,Comuna,Curupaity,"823533",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1983",Gobierno local,Municipio San Cristóbal,Municipio,San Cristóbal,"820231",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1984",Gobierno local,Comuna Colonia Ana,Comuna,Colonia Ana,"823505",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1985",Gobierno local,Municipio San Javier,Municipio,San Javier,"820238",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1986",Gobierno local,Comuna Cacique Ariacaiquín,Comuna,Cacique Ariacaiquín,"823694",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1987",Gobierno local,Comuna La Brava,Comuna,La Brava,"823708",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1988",Gobierno local,Municipio Romang,Municipio,Romang,"820237",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1989",Gobierno local,Comuna Alejandra,Comuna,Alejandra,"823687",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1990",Gobierno local,Comuna Colonia Durán,Comuna,Colonia Durán,"823701",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1991",Gobierno local,Municipio Gálvez,Municipio,Gálvez,"820252",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1992",Gobierno local,Comuna Gessler,Comuna,Gessler,"823785",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1993",Gobierno local,Comuna Barrancas,Comuna,Barrancas,"823729",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1994",Gobierno local,Comuna Monje,Comuna,Monje,"823827",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1995",Gobierno local,Comuna Larrechea,Comuna,Larrechea,"823799",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1996",Gobierno local,Comuna San Eugenio,Comuna,San Eugenio,"823834",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"1997",Gobierno local,Municipio Coronda,Municipio,Coronda,"820245",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1998",Gobierno local,Municipio San Genaro,Municipio,San Genaro,"820256",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"1999",Gobierno local,Comuna Maciel,Comuna,Maciel,"823820",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2000",Gobierno local,Comuna Desvío Arijón,Comuna,Desvío Arijón,"823764",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2001",Gobierno local,Comuna Bernardo de Irigoyen,Comuna,Bernardo de Irigoyen,"823736",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2002",Gobierno local,Comuna Arocena,Comuna,Arocena,"823722",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2003",Gobierno local,Comuna Centeno,Comuna,Centeno,"823757",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2004",Gobierno local,Comuna López,Comuna,López,"823813",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2005",Gobierno local,Comuna Loma Alta,Comuna,Loma Alta,"823806",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2006",Gobierno local,Comuna Irigoyen,Comuna,Irigoyen,"823792",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2007",Gobierno local,Comuna Díaz,Comuna,Díaz,"823771",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2008",Gobierno local,Comuna Casalegno,Comuna,Casalegno,"823750",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2009",Gobierno local,Comuna San Fabián,Comuna,San Fabián,"823841",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2010",Gobierno local,Comuna Gaboto,Comuna,Gaboto,"823778",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2011",Gobierno local,Comuna Pedro Gómez Cello,Comuna,Pedro Gómez Cello,"823932",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2012",Gobierno local,Comuna Ramayón,Comuna,Ramayón,"823939",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2013",Gobierno local,Comuna Silva,Comuna,Silva,"823960",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2014",Gobierno local,Municipio San Justo,Municipio,San Justo,"820259",Municipio,M2,Santa Fe,"82",BAHRA,IGN
"2015",Gobierno local,Comuna San Martín Norte,Comuna,San Martín Norte,"823953",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2016",Gobierno local,Comuna Esther,Comuna,Esther,"823883",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2017",Gobierno local,Comuna Gobernador Crespo,Comuna,Gobernador Crespo,"823890",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2018",Gobierno local,Comuna Marcelino Escalada,Comuna,Marcelino Escalada,"823918",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2019",Gobierno local,Comuna Angeloni,Comuna,Angeloni,"823862",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2021",Gobierno local,Comuna Colonia Dolores,Comuna,Colonia Dolores,"823876",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2022",Gobierno local,Comuna Vera y Pintado,Comuna,Vera y Pintado,"823967",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2023",Gobierno local,Comuna La Penca y Caraguatá,Comuna,La Penca y Caraguatá,"823911",Comuna,CO,Santa Fe,"82",BAHRA,IGN
"2024",Gobierno local,Comuna Videla,Comuna,Videla,"823974",Comuna,CO,Santa Fe,"82",BAHRA,IGN
