PROVINCIA;PARTIDO;HAB_2001;HAB_2010;VAR_2001-2010;VAR_PORCENTUAL
Salta;Capital;472971;536113;63142;13
Chubut;Rawson;115829;131313;15484;13
Corrientes;Santo Tomé;54050;61297;7247;13
Provincia de Buenos Aires.;Ramallo;29179;33042;3863;13
Provincia de Buenos Aires.;Suipacha;8904;10081;1177;13
Catamarca;Capital;141260;159703;18443;13
Provincia de Buenos Aires.;Luján;93992;106273;12281;13
Misiones;Cainguás;47271;53403;6132;13
Chaco;1º de Mayo;9131;10322;1191;13
Mendoza;Guaymallén;251339;283803;32464;13
Provincia de Buenos Aires.;Campana;83698;94461;10763;13
San Luis;Ayacucho;16906;19087;2181;13
Provincia de Buenos Aires.;General Belgrano;15381;17365;1984;13
Catamarca;Pomán;9543;10776;1233;13
Provincia de Buenos Aires.;Zárate;101271;114269;12998;13
Provincia de Buenos Aires.;Capitán Sarmiento;12854;14494;1640;13
Chaco;Fray Justo Santa María de Oro;10485;11826;1341;13
Salta;General José de San Martín;139204;156910;17706;13
San Luis;Chacabuco;18410;20744;2334;13
San Juan;25 de Mayo;15193;17119;1926;13
Provincia de Buenos Aires.;Berazategui;287913;324244;36331;13
Tucuman;Tafí Viejo;108017;121638;13621;13
Cordoba;Cruz del Eje;52172;58759;6587;13
Cordoba;Totoral;16479;18556;2077;13
Provincia de Buenos Aires.;Quilmes;518788;582943;64155;12
Provincia de Buenos Aires.;Merlo;469985;528494;58509;12
Misiones;Oberá;95667;107501;11834;12
La Rioja;Arauco;13720;15418;1698;12
Rio Negro;Conesa;6291;7069;778;12
Tucuman;Trancas;15473;17371;1898;12
Chaco;Libertad;10822;12158;1336;12
Mendoza;Maipú;153600;172332;18732;12
Tucuman;Burruyacú;32936;36951;4015;12
Catamarca;Antofagasta de la Sierra;1282;1436;154;12
Salta;Orán;124029;138838;14809;12
Provincia de Buenos Aires.;Salto;29189;32653;3464;12
Salta;General Güemes;42255;47226;4971;12
Formosa;Formosa;210071;234354;24283;12
Tucuman;Famaillá;30951;34542;3591;12
Catamarca;Fray Mamerto Esquiú;10658;11896;1238;12
La Pampa;Caleu Caleu;2075;2313;238;12
Jujuy;Dr. Manuel Belgrano;238012;265249;27237;11
Santiago del Estero;Atamisqui;9809;10923;1114;11
Mendoza;Las Heras;182962;203666;20704;11
Tucuman;Cruz Alta;162240;180499;18259;11
Misiones;Apóstoles;38028;42249;4221;11
Provincia de Buenos Aires.;Malvinas Argentinas;290691;322375;31684;11
Santiago del Estero;Robles;40060;44415;4355;11
Salta;Rivadavia;27370;30357;2987;11
Provincia de Buenos Aires.;Rivadavia;15452;17143;1691;11
Santiago del Estero;Banda;128387;142279;13892;11
Provincia de Buenos Aires.;Baradero;29562;32761;3199;11
Santa Fe;San Lorenzo;142097;157255;15158;11
Provincia de Buenos Aires.;San Andrés de Giles;20829;23027;2198;11
Chaco;12 de Octubre;20149;22281;2132;11
Provincia de Buenos Aires.;Tapalqué;8296;9178;882;11
Provincia de Buenos Aires.;Berisso;80092;88470;8378;11
Santiago del Estero;Alberdi;15617;17252;1635;11
Formosa;Bermejo;12710;14046;1336;11
Cordoba;Juárez Celman;55348;61078;5730;10
San Juan;Santa Lucía;43565;48087;4522;10
Provincia de Buenos Aires.;Ensenada;51448;56729;5281;10
Santa Fe;Las Colonias;95202;104946;9744;10
Chaco;Comandante Fernández;88164;96944;8780;10
Cordoba;Río Primero;42429;46675;4246;10
Chaco;Chacabuco;27813;30590;2777;10
Santa Fe;Castellanos;162165;178092;15927;10
Cordoba;General San Martín;116107;127454;11347;10
Provincia de Buenos Aires.;General Pueyrredón;564056;618989;54933;10
Misiones;Libertador General San Martín;42440;46561;4121;10
Provincia de Buenos Aires.;Pila;3318;3640;322;10
Corrientes;Lavalle;26250;28759;2509;10
San Juan;San Martín;10140;11115;975;10
Chubut;Florentino Ameghino;1484;1627;143;10
Provincia de Buenos Aires.;Chascomús;38647;42277;3630;9
Cordoba;San Javier;48951;53520;4569;9
Rio Negro;Avellaneda;32308;35323;3015;9
Catamarca;Belén;25475;27843;2368;9
Neuquen;Picunches;6427;7022;595;9
